quote*author
You miss 100% of the shots you don't take. *Wayne Gretzky
Obstacles are the cost of greatness. *Robin Sharma
With a new day comes new strength and new thoughts. *Eleanor Roosevelt
Believe you can and you're halfway there. *Theodore Roosevelt
A winner is a dreamer who never gives up. *Nelson Mandella
Your body is your most priceless possession. Take care of it. *Jack Lalane
Happiness is not something ready made. It comes from your own actions. *Dalai Lama
Don't count the days. Make the days count. *Muhammad Ali
You miss 100% of the shots you don't take. *Wayne Gretzky -Michael Scott
I've failed over and over again. And that's why I succeed. *Michael Jordan
Be so good they can't ignore you. *Steve Martin
Work hard in silence. Let success be your noise. *Frank Ocean
I choose a lazy person to do a hard job because a lazy person will find an easy way to do it. *Bill Gates
Don't judge each day by the harvest you reap but by the seeda that you plant. *Robert Louis
A year from now you may wish you had started today. *Karen Lamb
Life is all about risk and reward. Better to have struggled, to have tried, than to not have seized the opportunity at all. *Tommy Caldwell
If you don't take the time to think about and analyze your life, you'll never realize all the dots that are all connected. *Beyonce
The pessimist sees difficulty in every opportunity. The optimist sees opportunity in every difficulty. *Winston Churchill
The way to get started is to quit talking and begin doing. *Walt Disney
It's not whether you get knocked down, it's whether you get back up. *Vince Lombardi
We may encounter many defeats but we must not be defeated. *Maya Angelou
You are never too old to set another goal or dream a new dream. *C.S. Lewis
To see what is right and not do it is a lack of courage. * Confucious
Things work out the best for those who make the best of how things work out. *John Wooden
I think goals should never be easy, they should force you to work, even if they are uncomfortable at the time. *Michael Phelps
Todays accomplishments were yesterday's impossibilities. *Robert H. Schuller
Act as if what you do makes a difference. It does. *William James
Be the change that you wish to see in the world. *Mahatma Ghandi
the most wasted day is one without laughter. *e.e. cummings
We are all in the gutter, but some of us are looking at the stars. *Oscar Wilde
Our greatest glory is not in never failing, but in rising every time we fall. *Confucious
The way I see it, if you want the rainbow, you gotta put up with the rain. *Dolly Parton
We all have self-doubt. You don't deny it, but you also don't capitulate to it. You embrace it. *Kobe Bryant
When it hurts, observe. Life is trying to teach you something. *Anita Krizzan
It's not what happens to you, but how you react to you that matters. *Epictetus
Do something today that your future self will thank you for. *Sean Patrick Flannery
